@relation desharnais.csv-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1

@attribute TeamExp numeric
@attribute ManagerExp numeric
@attribute YearEnd numeric
@attribute Effort numeric
@attribute Transactions numeric
@attribute Entities numeric
@attribute PointsAdjust numeric
@attribute Envergure numeric
@attribute PointsNonAjust numeric

@data
1,4,85,5152,253,52,305,34,302
0,0,86,5635,197,124,321,33,315
4,4,85,805,40,60,100,18,83
0,0,86,3829,200,119,319,30,303
0,0,86,2149,140,94,234,24,208
0,0,86,2821,97,89,186,38,192
2,1,85,2569,119,42,161,25,145
1,2,83,3913,186,52,238,25,214
3,1,85,7854,172,88,260,30,247
3,4,83,2422,78,38,116,24,103
4,1,84,4067,167,99,266,24,237
2,1,84,9051,146,112,258,40,271
1,1,84,2282,33,72,105,19,88
3,4,85,4172,162,61,223,32,216
4,4,85,4977,223,121,344,28,320
3,2,85,1617,119,48,167,26,152
4,3,85,3192,57,43,100,43,108
4,4,86,3437,68,316,384,20,326
3,4,87,4494,9,386,395,21,340
4,2,86,840,58,34,92,29,86
4,4,86,14973,318,269,587,34,581
2,4,85,5180,88,170,258,34,255
2,4,86,5775,306,132,438,37,447
4,1,87,10577,304,78,382,39,397
1,4,86,3983,89,200,289,33,283
4,1,85,3164,86,230,316,33,310
2,0,86,3542,71,235,306,37,312
3,1,85,4277,148,324,472,39,491
4,4,85,7252,116,170,286,27,263
4,1,85,3948,175,277,452,37,461
4,3,86,3927,79,128,207,27,190
1,1,86,710,145,38,183,27,168
4,4,87,2429,174,78,252,41,267
1,1,85,6405,194,91,285,35,285
2,2,88,651,126,49,175,38,180
1,3,86,9135,137,119,256,34,253
2,4,87,1435,289,88,377,28,351
?,?,87,5922,260,144,404,24,360
1,4,88,847,158,59,217,18,180
3,3,88,8050,302,145,447,52,523
1,1,87,4620,451,48,499,28,464
2,4,87,2352,661,132,793,23,698
1,1,88,2174,64,54,118,25,106
?,4,86,19894,284,230,514,50,591
2,1,86,6699,182,126,308,35,308
2,3,87,14987,173,332,505,19,424
2,2,88,4004,252,7,259,28,241
4,3,85,12824,131,180,311,51,361
2,3,85,2331,106,39,145,6,103
3,3,85,5817,96,108,204,29,192
2,3,85,2989,116,72,188,18,156
3,3,85,3136,86,49,135,32,131
2,3,85,14434,221,121,342,35,342
1,1,87,2583,61,96,157,18,130
1,3,86,3647,132,89,221,5,155
3,7,86,8232,45,387,432,16,350
1,1,86,3276,55,112,167,12,129
1,4,87,2723,124,52,176,14,139
3,3,87,3472,120,126,246,15,197
1,2,87,1575,47,32,79,14,62
1,1,86,2926,126,107,233,23,205
3,2,86,1876,101,45,146,15,117
1,1,86,2520,78,99,177,14,140
4,7,86,1603,69,74,143,14,113
1,3,86,3626,194,97,291,35,291
2,?,87,6783,224,110,334,28,311
2,4,87,11361,323,184,507,35,507
1,3,86,1267,42,31,73,27,67
1,2,87,2548,74,43,117,25,105
3,4,87,1155,101,57,158,9,117
0,4,86,546,97,42,139,6,99
2,3,84,2275,134,77,211,13,165
4,5,86,9100,482,227,709,26,645
0,2,84,595,213,73,286,6,203
0,?,84,3941,139,143,282,22,245
2,3,86,13860,473,182,655,40,688
4,4,85,1400,229,169,398,39,414
4,3,83,2800,227,73,300,34,297
4,4,86,9520,395,193,588,40,617
4,3,86,5880,469,176,645,43,697
4,4,85,23940,886,241,1127,34,1116
